text,label
Life feels really difficult right now. honestly.,negative
Things are improving for me. right now.,positive
Life feels really difficult right now. these days.,negative
I don't feel strongly about anything right now. at the moment.,neutral
Everything is working out perfectly. I guess.,positive
This is one of the worst days recently. lately.,negative
I'm frustrated and tired of everything. lately.,negative
I'm sad and losing motivation. I think.,negative
I feel kind of neutral. these days.,neutral
It was an average day for me. at the moment.,neutral
I feel fantastic today! I think.,positive
I feel confident and motivated. today.,positive
I'm really happy with how things are going. at the moment.,positive
I'm sad and losing motivation. I think.,negative
I feel lonely and hopeless. honestly.,negative
Things are improving for me. I think.,positive
I feel lonely and hopeless. I guess.,negative
I'm excited and full of energy. today.,positive
I feel lonely and hopeless. right now.,negative
I'm really happy with how things are going. right now.,positive
I'm frustrated and tired of everything. I think.,negative
Nothing major on my mind right now. at the moment.,neutral
I feel kind of neutral. lately.,neutral
"I'm feeling normal, not too good, not too bad. honestly.",neutral
Everything is working out perfectly. I think.,positive
I'm laughing and smiling a lot today. these days.,positive
Life is good and I'm grateful. I think.,positive
It was an average day for me. today.,neutral
I feel fantastic today! I think.,positive
Nothing is going right and it's draining. today.,negative
It was an average day for me. honestly.,neutral
Nothing is going right and it's draining. today.,negative
I'm really happy with how things are going. honestly.,positive
I don't feel strongly about anything right now. right now.,neutral
Everything is working out perfectly. I guess.,positive
I'm laughing and smiling a lot today. I think.,positive
Nothing major on my mind right now. these days.,neutral
I feel lonely and hopeless. these days.,negative
Things are stable and unchanged.,neutral
I'm frustrated and tired of everything. honestly.,negative
"Today was okay, nothing special. honestly.",neutral
Life feels really difficult right now.,negative
I'm really happy with how things are going. I think.,positive
This is the best day I've had in a long time. today.,positive
Nothing much happened today. lately.,neutral
Everything feels heavy and stressful. right now.,negative
Nothing is going right and it's draining. these days.,negative
Everything feels heavy and stressful. I think.,negative
Nothing is going right and it's draining. I guess.,negative
Things are improving for me. lately.,positive
I don't feel strongly about anything right now. right now.,neutral
I'm sad and losing motivation. I think.,negative
I feel lonely and hopeless. today.,negative
Things are improving for me. at the moment.,positive
"I'm feeling normal, not too good, not too bad.",neutral
Life feels really difficult right now. lately.,negative
I'm frustrated and tired of everything. these days.,negative
"Today was okay, nothing special. these days.",neutral
I feel supported and appreciated. these days.,positive
I'm sad and losing motivation. I guess.,negative
This is one of the worst days recently.,negative
I'm frustrated and tired of everything. at the moment.,negative
I'm sad and losing motivation. at the moment.,negative
I'm excited and full of energy.,positive
Everything is working out perfectly. right now.,positive
Nothing major on my mind right now.,neutral
I'm really happy with how things are going. at the moment.,positive
This is one of the worst days recently. lately.,negative
I feel supported and appreciated. lately.,positive
I feel ignored and unimportant. today.,negative
I feel anxious and overwhelmed. today.,negative
Everything feels heavy and stressful. today.,negative
It's just a regular day. these days.,neutral
